num_bellpairs,coherence_time,link_fidelity,fidelity_mean,fidelity_std,completion_time_mean,completion_time_std,purification_success_prob_mean,purification_success_prob_std,fidelity_analytical,completion_time_analytical,purification_success_prob_analytical
10000,0,0.88,0.9113364666666666,0.0056958882288502995,43.26168953499333,0.34735784169660816,0.8526051939451925,0.0033008579003641542,0.9099437148217636,43.234458658426995,0.8528
10000,0,0.9,0.9260026666666665,0.0054804188303044545,42.10852268699121,0.3444830802024049,0.8753699439253333,0.0035872343630768185,0.9263959390862944,42.11079906193917,0.8755555555555555
10000,0,0.92,0.9411997,0.005030122749661952,41.06446132762674,0.2699573306063967,0.8986162356681675,0.0028529523651015212,0.9422582558829347,41.011602170355594,0.8990222222222222
10000,0,0.94,0.9574060000000001,0.0036862376754626157,40.001729791129925,0.24267220546892596,0.9235007718554277,0.002379055523521656,0.9575389948006932,39.93754257092006,0.9231999999999999
10000,0,0.96,0.9719443999999998,0.0031030192565736116,38.92643865562653,0.25560579124884303,0.9485553882569115,0.0021271921706710645,0.9722482655165949,38.889113925735835,0.9480888888888888
10000,0,0.98,0.9866937666666669,0.0024777496198948156,37.9175201106976,0.3029780074807246,0.9738985414740782,0.0014665942784732537,0.9863976629541718,37.86664782928104,0.9736888888888889
10000,0,1.0,1.0,0.0,36.904220749704926,0.2940408014084113,1.0,0.0,1.0,36.870331618819044,1.0
100000,0,0.6,0.6201720000000001,0.00274616276526599,605.5918358443556,1.6366048892609633,0.6087058825297036,0.0013818675752545991,0.6204379562043797,605.5361862435913,0.6088888888888887
100000,0,0.62,0.6437148999999998,0.002784478746552037,593.7081475846304,1.3420544935587504,0.6213163863914957,0.0011354514090331726,0.6441235344581069,593.0687534120135,0.6216888888888888
100000,0,0.64,0.6671706000000002,0.0035976207007780495,580.8924949794018,1.2607860060175378,0.6351000057441054,0.0013542718462587636,0.6675062972292193,580.4537987907037,0.6352
100000,0,0.66,0.6901511000000001,0.0032549514522749183,568.0705019303462,1.3700617989560007,0.649524772796688,0.0011915487777777063,0.6905283328770875,567.7419696349356,0.6494222222222221
100000,0,0.68,0.7118422000000001,0.0025873428892720604,555.4478696264432,1.2769926212251272,0.6642539133415524,0.0012011567410708606,0.7131388814557132,554.9803068433279,0.6643555555555556
100000,0,0.7,0.7346182333333334,0.002334205870431218,542.472026983478,1.3578679475832878,0.6797480570511285,0.00137753490201148,0.7352941176470588,542.2121301622157,0.6799999999999999
100000,0,0.72,0.7575985333333333,0.0030638539971016123,529.357175951504,1.5285438196288192,0.6966341287748719,0.0013749210184513534,0.756956854735767,529.4769948091129,0.6963555555555556
